sentence,true_label,predicted_label,source
"A man fired four days earlier from his job as an accountant walked into his old office , passed by the receptionist and made his way to a manager's office with the purpose of killing him with a shotgun , a police sergeant said Wednesday during the man's arraignment . Steinberg was shot in the hip and has spoken to police about the attack , while Riva had not yet regained consciousness and was on a ventilator .",1,0,esl2
"Klitschko put Thompson on the canvas with a big right hand near the end of the fifth round at Stade de Suisse , and the 40 - year - old American southpaw never recovered .",1,0,esl2
These results may aid current strategies for preventing and controlling pediatric hypertension.,0,1,Pubmed data.csv
We found that SD is associated with an ascending homicide trajectory.,1,0,Haber
Cross-cultural communication and team-based care were reported as fundamental to successful preconception care in women with T2DM.,1,0,Pubmed data.csv
"Our results indicate that there is an association between low adult socioeconomic
status and increased mortality independent of genetic endowment.",0,1,Haber
The 1985 reports give a picture of what led to the disaster and how it developed .,1,0,altlex
The quake also triggered landslides and caused hundreds of people to be evacuated to 10 temporary shelters .,1,0,esl2
It was first feared that Nalgae would cause much more damage to Luzon .,1,0,altlex
"The two presidents on Friday signed the plan, which calls for cooperation in the metallurgy, fuel, energy, aircraft building, missile, space and chemical industries. A major project is joint manufacturing of An-70 cargo planes, the Kremlin statement said.",0,1,ctb
Moderate drinking may reduce risk of rheumatoid arthritis,1,0,Press_Release
"This study supports that there is a positive relationship between weight status and past 30-day cigarette and e-cigarette use for boys, but that there is no association for girls",0,1,Haber
"Rescue operations are under way after a 6 . 1 magnitude earthquake hit Indonesia's Aceh province , flattening houses and causing landslides .",1,0,esl2
"As a side, Secretary Paulson, I would like to specifically thank you and your staff, as well as the public and private sector partners for organizing the HOPE NOW Alliance, which has helped to keep hundreds of thousands of families in their homes.",1,0,because
Alternative medicine use high among children with chronic conditions  UAlberta medical research,1,0,Press_Release
This mild and relatively common form of acne is caused by cosmetics .,1,0,semeval
"Texas Lifer Escapes Prison Van Near Houston Arcade Joseph Comeaux Jr . , 49 , ran away on foot with the guards' guns and wearing one of their gray correctional officer uniforms , the statement from the Texas Department of Criminal Justice said .",0,1,esl2
"In particular, in the S-treatment the anticipation of social reward and disapproval may become more salient in later periods leading to higher contributions in the final periods than under anonymity.",1,0,Ssc
Thompson briefly stepped up his cautious tactics when landing a left to Klitschko's face in the third .,1,0,esl2
"A  new finding was the independent relationship in plasma between low provitamin A  carotenoids and high MMP-9, suggesting a link between these carotenoids, matrix  turnover and arterial remodelling.",0,1,Haber
Hundreds of toxic chemicals were released into the atmosphere .,0,1,semeval
We estimate a wind speed associated with the devastation caused by the tornado .,1,0,semeval
"Consistent with this tendency to operate according to personality type, many of the participants in my laboratory study were slow to change their behaviors when they were at low performing ranks.",1,0,Ssc
"Profit also suffered because of "" intense "" discounting in its long-haul trucking business, the company said.",1,0,ctb
The answer to that question should inform future treatment development for this population.,0,1,Pubmed data.csv
"Williams was pulled over for speeding early Sunday on a freeway outside downtown San Diego , the California Highway Patrol said .",1,0,esl2
"While we did not observe an overall association between lifestyle and BCIS risk, our results indicate that lifestyle is associated with BCIS risk among women recruited via screening programs and with regular screening participation.",1,0,Haber
radiation exposure may also be a contributing factor.,1,0,Haber
The devastation caused by the earthquake-generated tsunami is seen on the south coast of Western Samoa .,1,0,semeval
Improving CRF through exercise training lowers mortality risk.,1,0,Haber
Coronary heart disease goes unrecognized,0,1,Press_Release
"No additional increased risk of CMs was observed in children of men with TGCC treated
with radio- or chemotherapy.",1,0,Haber
"Further research utilizing a larger sample is warranted to confirm the relationships among oral bone loss, site-specific cancers, and total cancer.",0,1,Pubmed data.csv
"Within a week of the dissolution of the last entity to run the Matanuska Maid Creamery , its building burned to the ground .",1,0,esl2
"His appointment to that post, which has senior administrative, staff and policy responsibilities, followed a several-year tenure as Reuters's editor in chief.",1,0,ctb
"Still, Unisys said its European business was weak during the quarter, a worrisome sign given that the company has relied on solid results overseas to overcome weakness in the U.S. over the past several quarters. The company also reported slower growth in another important business: systems that use the Unix operating system.",0,1,ctb
"High-dose oral multivitamins and multiminerals did not produce a statistically significant reduction in cardiovascular events in post-myocardial infarction patients on standard medications, but this conclusion has to be tempered by the non-compliance rate.",1,0,Haber
"Furthermore, the results of this study led by Lawrence Long from the University of the Witwatersrand in Johannesburg, South Africa, and published in this week's PLoS Medicine also show that this primary health care transfer strategy was cost effective and able to improve or maintain patient responses to antiretroviral therapy for 11% lower cost than doctor-managed, hospital-based outpatient treatment.",1,0,Press_Release
"South Sudan : ""Sudan bombed refugee camp"" A refugee camp in South Sudan's Unity state was bombed on Thursday , South Sudan officials and witnesses said , threatening to raise tensions with Sudan .",1,0,esl2
Profit from sale of investments is tax-free for general insurers .,1,0,semeval
Our study showed that the impact of the ACA expansion on health care  expenditures differed by race/ethnicity,0,1,Haber
Their lungs have barely formed and their airways are not developed enough to inhale.,1,0,because
"Heritage Media Corp., New York, said it offered to buy the shares of POP Radio Corp. it doesn't already own in a stock swap. Depending upon how many warrants and options are exercised prior to completion of the transaction, Heritage would issue between 1.8 million and 2.35 million preferred shares, a Heritage spokesman estimated.",0,1,ctb
"The aircraft was written off in the accident due to the severe impact caused by the KLM aircraft , and the resulting fire .",1,0,semeval
"A man suspected of shooting three people at an accounting firm where he had worked was arrested a few hours later after a high - speed chase , authorities said .",1,0,esl2
"Convection gradually consolidated the LLCC and the JTWC initiated advisories on the system on September 11 , designating it with `` 18W '' .",0,1,altlex
Age of onset of first seizure is a significant predictor of cognitive impairment according to this study--the first to evaluate cognitive impairment in children age three to six.,1,0,Press_Release
"Although no significant mortality benefit was observed, the vitamin C protocol was not associated with patient harm.",1,0,Haber
My rabbit just had a new litter of rabbits .,0,1,semeval
"According to a report from TMZ published this week ( June 13 ) , the Mean Girls actress has had enough of the Palm Springs rehab centre and has decided to spend the rest of her court - ordered stay in a rehab centre in Malibu , named the Cliffside . Lindsay hasn't messed around in getting to the new facility either and she is reportedly already a patient of the Cliffside rehab centre , having checked out of the Betty Ford Centre on Thursday ( June 13 ) this week and committing herself to Cliffside almost immediately afterward .",1,0,esl2
"In reality , acne is caused by bacteria and oil on the skin .",1,0,semeval
200000 doses of smallpox vaccine have been shipped to 35 states .,0,1,semeval
Ultraprocessed food consumption was associated with a higher risk of overweight and obesity in a prospective cohort of Spanish middle-aged adult university graduates.,1,0,Pubmed data.csv
"A parasite thought to be harmless and found in many people may actually be causing subtle changes in the brain, leading to suicide attempts.",1,0,Press_Release
"Weekend warrior and other leisure time physical activity
patterns characterized by 1 or 2 sessions per week may be sufficient to reduce all-cause, CVD, and cancer mortality risks regardless of adherence to prevailing physical activity guidelines.",1,0,Haber
Sigmoid colon diverticulitis is the most common cause of acute pain in the left lower abdomen in older adults .,1,0,semeval
CLINICAL TRIAL REGISTRATION: NCT02081599.,0,1,Pubmed data.csv
"For years, medical studies have reached the same conclusion: African-American patients do better on kidney dialysis than their white counterparts.",0,1,Press_Release
"True progress comes from science , debate , inference , logic and reasoning .",1,0,semeval
"In patients who presented with an acute coronary syndrome and underwent percutaneous coronary intervention, major adverse cardiovascular events occurring during follow-up were equally attributable to recurrence at the site of culprit lesions and to non culprit lesions. Although non culprit lesions that were responsible for unanticipated events were frequently angiographically mild, most were thin-cap fibro-atheromas or were characterized by a large plaque burden, a small luminal area, or some combination of these characteristics, as determined by gray-scale and radiofrequency intravascular ultrasonography",0,1,Haber
"Irrespective of the strategy, increasing from 1 to 2 SMBG tests/day was associated with HbA1c reduction in both groups, without pharmacologic interventions.",1,0,Pubmed data.csv
The European colonial expansion to the Americas resulted in massive population movements from the Old World to the New World .,1,0,semeval
The reference signal was generated from an auxiliary photomultiplier (RCA 1P28) with a quantum counter .,1,0,semeval
"The company said it currently holds about 4.2 million of Innopac's 13.8 million common shares outstanding, which have an aggregate market value of about 137.8 million Canadian dollars ( US $ 117.3 million ).",0,1,ctb
Each 1  mg dL(-1) increase in HDL decreased the odds of severe sepsis by 3% during hospitalization.,1,0,Pubmed data.csv
"That is, when there is no noise, there is an increase in cooperation over successive interactions (at least in the context of TFT and TFT ϩ 1 strategies).",1,0,Ssc
UCLA researchers describe new form of irritable bowel syndrome,0,1,Press_Release
"Because these data are based on observational studies only, the results are suggestive but inconclusive.",0,1,Pubmed data.csv
Findings suggest that the roll-out of VMMC in Orange Farm is associated with a significant reduction of HIV levels in the community.,1,0,Haber
Swiss US team finds indigenous cases of leprosy in the Southern United States,0,1,Press_Release
"Previous research has shown that patients without a consistent primary care physician (PCP) have worse outcomes than those who do, but little is known about why this is true.",0,1,Press_Release
"The damages caused by the fires that immediately broke out and raged for three days , were by far worse than those caused by the earthquake itself .",1,0,semeval
"I dunno , I ' m kinda leaning towards some props for the person that came up with brakes .",0,1,semeval
"As a result , the bulk of the Allied armies found themselves trapped in an encirclement and were beaten .",1,0,altlex
Sacked worker shoots ex - colleagues,0,1,esl2
The results of our analysis suggest that Avahan had a beneficial effect in reducing HIV prevalence at the population level over 5 years of programme implementation in some of the states.,1,0,Haber
"""A man suspected of shooting three people , killing one , at an accounting firm where was fired last week was arrested after a high - speed chase a few hours after the Monday morning attack , authorities said .",1,0,esl2
"In one e-mail , climate scientist Benjamin Santer commented on a request for data and correspondence from science blogger Stephen McIntyre .",0,1,semeval
"On my backpacking trip , the insoles caused a hot spot on the left side of my right heel and a blister on the right side of my left heel .",1,0,semeval
"The benefits of exercise for reducing risk of chronic disease, including CVD, are well known.",1,0,Pubmed data.csv
"""I see many houses were damaged and their roofs fell onto some people , "" Bensu Elianita , a 22 - year - old resident of Bukit Sama village in Central Aceh district , said shortly after the quake hit .",1,0,esl2
"The joy comes from Cather ' s writing : precise observation and wording , the lilting cadence of her phrasing , the beautiful and clear pictures she evokes of scenery and characters , and the unfamiliar , old fashioned words and expressions she uses .",1,0,semeval
NYPD officers shot and killed the teen late Saturday night .,1,0,esl2
"In the days following the disaster , an international reconnaissance team of engineers was dispatched to the region to make a detailed preliminary survey of damaged buildings .",1,0,altlex
So there are a number of things we can do to strengthen the oversight under existing statutes and to make sure that the infrastructure is working as well as possible.,1,0,because
TRIAL REGISTRATION NUMBER: Australian Clinical Trials Registry (ACTRN12610000049077).,0,1,Pubmed data.csv
"Sales dropped to $ 441.1 million from $ 820.4 million, because the company no longer consolidates its Eastern Steel division, which is now a joint venture with Kawasaki Steel Corp.",1,0,ctb
"Mild restless legs syndrome severity, no family history, and young age at restless legs syndrome diagnosis were significant predictors of restless legs syndrome remission.",1,0,Haber
"Regression analyses showed that realistically pessimistic
(vs. unrealistically optimistic) expectations predicted significantly fewer depressive symptoms and a lower risk of death",0,1,Haber
Receipt of antibiotics by prior bed occupants was associated with increased risk for CDI in subsequent patients.,1,0,Haber
"Thus, much like the real world, if harvesters mismanaged the resource during the early stages of the simulation, there was less available during the later stages.",1,0,Ssc
"After adjusting for a wide range of socio-demographic factors, subjects who had been given large transfers were much more likely to report very good health than subjects who had not been given anything.",1,0,Haber
Gunman Kills L . A . Deputy on Gang Duty,1,0,esl2
"Dozens injured , child dead as 6 . 1 - magnitude earthquake hits Indonesia's Aceh",1,0,esl2
"Not all Cubans believe, but Castro has invited everyone to welcome the man who has been one of Communism's most effective adversaries, and that's why there is suspense.",1,0,ctb
"In the 19th century , the major European powers had gone to great lengths to maintain a balance of power throughout Europe , resulting in the existence of a complex network of political and military alliances throughout the continent by 1900 .",1,0,altlex
"Diagnosis seemed to be more important than abnormal examination findings in predicting antibiotic prescribing, although these were correlated.",1,0,Pubmed data.csv
Circulation depends on the use of ventilators and injections of hormones.,1,0,because
Swissair was a victim of the clandestine wealth-transfer plaguing the productive sector as a result of the falling interest-rate structure caused by bond speculation .,1,0,semeval
"Now critics of the academy are targeting its owner, the Saudi government.",0,1,ctb
"The scenes of violence on blocks near the NYPD ’ s 67th Precinct stationhouse followed a protest march that grew out of a candlelight vigil for Kimani ( Kiki ) Gray , 16 , killed by police bullets on Saturday .",1,0,esl2
"""The results therefore support the conduct of clinical trials to investigate efficacy, tolerability and pharmacokinetics during repeated dosing.""",0,1,Pubmed data.csv
"Among the first to survey the devastation caused by the April earthquake , the team discusses what they observed and learned from the damaged buildings .",1,0,semeval
"On the basis of a systematic review of studies that were judged to be of high or medium quality, there is an indication that some nutritional factors seem to be associated with an increased fracture risk among children.",1,0,Pubmed data.csv
This might be the result of an adaptation process achieved through a decrease of growth velocity.,1,0,Pubmed data.csv
People made tools to help them remember where they were in a maths problem .,1,0,altlex
“ He was shot in the head and left dying on the ground while his killer ran away and tried to hide .,1,0,esl2
The destruction caused by the bombing of Attorney General Palmer ' s home .,1,0,semeval
"Following a process of decolonisation in the 20th century , mainly caused by the weakening of Great Britain 's power in the two World Wars , almost all of the empire 's oversea territories became independent countries .",1,0,altlex
"Among participants at high genetic risk, a favorable lifestyle was associated with a nearly 50% lower relative risk of coronary artery disease than was an unfavorable lifestyle.",1,0,Haber
A fire - bomb attack on a bank in Greece killed at least three people Wednesday as police fought pitched battles with striking protestors furious at brutal budget cuts designed to avert national bankruptcy .,1,0,esl2
"Through the Chargers and the NFL , our players receive one of the most comprehensive education and support programs in sports to help them deal with issues that affect all segments of society . ” Chargers receiver Vincent Jackson was arrested for investigation of DUI on Jan . 6 , five days before San Diego ’ s playoff loss at Pittsburgh .",0,1,esl2
"The singer , who performed three of the nominated songs , also caused a commotion on the red carpet .",1,0,semeval
"Early prenatal enrollment and micronutrient use during the first trimester of pregnancy appeared to be of particular importance for prevention of SPB, regardless of supplement group.",1,0,Haber
Physiological and psychological impact of this type of event is still unclear.,1,0,Pubmed data.csv
"However, on ratings of group performance, status and attitudinal similarity combined did lead to increased intergroup differentiation, again unaffected by goal relations.",1,0,Ssc
"John Jenkin , 23 , had been sectioned after an apparent suicide attempt in the week before the double murder .",1,0,esl2
We have seen that many software patents covering well-known algorithms and techniques hinder the software industry in the United States of America and around the world .,0,1,semeval
"As moms have always known, a good night's sleep is crucial to good health -- and now a new study led by a UCSF researcher shows that poor sleep can reduce the effectiveness of vaccines.",1,0,Press_Release
Having a free pass was significantly associated with greater active travel,1,0,Haber
"ABC quoted an Iraqi Foreign Ministry official in Baghdad as saying Americans in Iraq are "" restrictees "" who will stay there until the crisis ends.",0,1,ctb
"In summary, the burden of underweight was higher among prisoners in Tigray region who had respiratory tract infections.",1,0,Pubmed data.csv
"He was a trouble maker then , a leader in SDS , and a trouble maker he remains .",1,0,semeval
"Some have argued that the money the pirates demand is very little compared to the devastation that has been caused by the toxic waste , which includes nuclear waste .",1,0,semeval
A higher consumption of processed meat was associated with a higher risk of impairment in agility and lower-extremity function,1,0,Haber
"Maternal dietary vitamin D beneficially programs intestinal permeability and systemic LPS concentration, which is accompanied by stronger trabecular bone in an obesogenic environment.",1,0,Pubmed data.csv
Subjects are divided into groups of size 5.,0,1,Ssc
"The Greek prime minister has denounced what he called the ""murder"" of three bank workers killed when the building they were in was torched during protests in Athens against harsh new austerity measures .",1,0,esl2
"A shave biopsy is a reasonably safe and accurate method for the initial diagnosis of melanoma, according to a study published in the April issue of the Journal of the American College of Surgeons.",0,1,Press_Release
"This forum is dedicated to the late Lou Alessi , a devoted leather craftsman and an all around gentleman .",0,1,semeval
"Despite baseline differences in  healthy food purchases, a simple color-coded labeling and choice architecture  intervention improved food and beverage choices among employees from all racial and  socioeconomic backgrounds.",1,0,Haber
High-normal TSH (3.0 mIU/L) and lower TSH (<0.5 mIU/L) levels were associated with higher death risk,0,1,Haber
Gas drilling threatens public with undisclosed chemicals .,0,1,semeval
"Although aeronautical warfare had relatively little success at the start of the war , actions at Taranto , Pearl Harbor , and the Coral Sea established the carrier as the dominant capital ship in place of the battleship .",1,0,altlex
"""Furthermore, future studies should report results stratified by gender and race and should adjust the results by more confounders.""",0,1,Pubmed data.csv
These findings suggest that exposure to maternal obesity and hyperglycemia places girls at higher risk of earlier pubarche.,1,0,Haber
"Some of these problems are neither new nor unique to the OTC market. But the big, often tumultuous slide in stock prices this month has turned some of those who have been profiting from the practice against it.",0,1,ctb
The effect of fasting on glucose was small and may not be clinically important.,1,0,Pubmed data.csv
Forest land  cover and some degree of fragmentation are associated with population physical activity.,1,0,Haber
Associations between workplace factors and CVD risk factors in mid-adulthood arise  in part from social and health disadvantage originating earlier in life.,1,0,Haber
"If one (or more) of the players is ""competitively oriented,"" he continues to exploit the other player or players until they must respond with self-protective noncooperation as well.",1,0,Ssc
Syntax for fitting the model for Study 1 in multifree,0,1,Ssc
The exhibition The Art of the Motorcycle caused a revolution on the museum scene with its presentation of the motorcycle as a metaphor of the 20th century .,1,0,semeval
"In the sample studied, no association was found between fetal growth restriction and changes in cardiovascular risk factors in adolescents.",1,0,Pubmed data.csv
"Consistent with our second hypothesis, which predicts that relationship duration mediates the impact of tie strength on cooperation, we find that both the main effect of tie value and its interaction with the number of tie swaps are diminished, relative to Model 2. The main effect decreases by 64% (from −.069 to −.025), and the interaction with the number of tie swaps decreases by 65% (from .029 to .01).",1,0,Ssc
Studies have shown that bariatric operations can alleviate chronic health issues like diabetes and arthritis for extremely obese people.,1,0,Press_Release
Results of the research raise serious issues related to temporary nursing staff in particular because they already are a substantial and growing part of the health care workforce owing to the national nursing shortage.,0,1,Press_Release
"The overall results of this study, highlights the clinical value of CUSE in differentiation of breast masses based on their stiffness.",0,1,Pubmed data.csv
The results indicate that arteriosclerosis resulting from such donor-specific antibodies may play an important role in organ rejection following transplantation.,1,0,Press_Release
A man has denied arson following a fire at a Somerset supermarket early on Sunday .,1,0,esl2
The multifactorial nature of ARI severity and vitamin A status highlights the need for a comprehensive approach to public health programmes to address ARI.,0,1,Pubmed data.csv
Test increases odds of correct surgery for thyroid cancer patients,1,0,Press_Release
"A new study published in the American Journal of Transplantation reveals that there is a significant risk of serious skin cancers, including cutaneous squamous cell carcinoma and melanoma, in heart transplant patients.",1,0,Press_Release
"So I believe as a part of a comprehensive reform that Mr. Volcker's idea with regard to separation of some of these functions makes a lot of sense, not because I am concerned about the economics, but because I am concerned of the nature of the impact that these various activities have on the players and the financial markets.",1,0,because
"To our knowledge, these data provide the first  evidence of the role of serum ferritin as a risk factor for hard CHD in African-American and white postmenopausal women in the USA.",1,0,Pubmed data.csv
The pain was radiating from the contraction out to my hips and back and then down both my legs all the way to my toes .,1,0,semeval
The plane crashed and landed into a cemetery killing 17 children .,0,1,semeval
Carrasquillo allegedly ordered Lopez to shoot .,1,0,esl2
The pain was caused by the parasite entering the body through the skin during bathing or drinking of infested water .,1,0,semeval
"Orozco , 29 , was found guilty by the same jury last month of first - degree murder with the special circumstances of murder of a police officer and possession of a firearm by a felon .",1,0,esl2
"Although lower plasma arginine concentration at time of admission was associated with PU development, the AUC for arginine was not significantly different from 0.50.",1,0,Pubmed data.csv
Dozens gathered to remember 16 - year - old Kimani Gray . NYPD officers shot and killed the teen late Saturday night .,0,1,esl2
"Robert Mellor, Di Giorgio's executive vice president, said the company stands to reap more money through the sale of individual units to others than by accepting DIG's offer.",0,1,ctb
"Seacom's business customers , including commercial Internet Service Providers , have had their services restored via alternative routes , Seacom announced today",0,1,esl2
"And I want to know if you have anything in your plans to deal with them, because after we get finished with all of the President's HOPE NOW program and the money that we are giving to NeighborWorks and other organizations to do counseling, they can't do very much good, because the servicers are the ones who make the decisions.",1,0,because
"The refugees said the plane had circled before launching two bombing raids . Five bombs were dropped , of which four exploded , they told our correspondent .",1,0,esl2
"The Los Angeles thrift holding company said it had a loss of $ 92.2 million, or $ 6.98 a share, for the quarter ended Sept. 30. Coast earned $ 10.2 million, or 67 cents a share, in the year-ago quarter.",0,1,ctb
This association remained in patients with recent hormone use.,1,0,Pubmed data.csv
Lower father’s occupational class in early life was associated with higher odds of asthma alone but lower odds of asthma with atopy in a cohort that preceded the 1960s rise in asthma prevalence.,0,1,Haber
The bombing resulted in the deaths of 1318 in Hanoi .,1,0,semeval
Well I know quite a few people who get dissatisfaction from laughing at retards .,1,0,semeval
"In March 2007 , Barenboim said : `` The whole subject of Wagner in Israel has been politicized and is a symptom of a malaise that goes very deep in Israeli society ... '' Performing in the West Bank and Gaza Strip .",1,0,altlex
"When players have the option of punishing each other after the contribution stage, the effect of the moral messages on contributions becomes persistent: punishments and moral messages interact to sustain cooperation.",1,0,Ssc
Permitting continuous rather than binary ''all-or-nothing'' contributions significantly increases contributions and facilitates provision.,1,0,Ssc
Younger patients have better overall adherence likely secondary to increased parental supervision.,1,0,Pubmed data.csv
"In this, greater Black cooperation in this social dilemma may in part be the result of coping strategies developed by Black students to overcome social-structural and institutional hurdles faced by students of color.",1,0,Ssc
"Eighty-four percent of the complications resulted in patient deaths , while 16 percent resulted in a serious injury .",1,0,semeval
"The activists worked on organising the gas victims , which led to violent repression from the police and the government .",1,0,altlex
Stillbirth is a tragedy that occurs in one of every 160 births in the United States.,0,1,Press_Release
Age predicted chondral injuries.,1,0,Pubmed data.csv
Vulvodynia is the cause of chronic vulval pain in the absence of skin disease and infection .,1,0,semeval
The confrontation between Martyn and Liz earlier ended with a struggle that resulted in Martyn ' s drowning .,1,0,semeval
"A refugee camp in South Sudan's Unity state was bombed on Thursday , South Sudan officials and witnesses said , threatening to raise tensions with Sudan .",1,0,esl2
It adds to the literature suggesting that abdominoplasties in select  patients may improve incontinence symptoms.,1,0,Pubmed data.csv
That coupled with the death and destruction caused by the storm was a very traumatic experience for these residents .,1,0,semeval
The study was registered at clinicaltrials.gov (NCT00861731).,0,1,Pubmed data.csv
Medicare beneficiaries with higher utilization of primary care have lower CRC incidence and mortality and lower overall mortality.,1,0,Haber
"He said the blood was drawn well after Williams' arrest , meaning he could have been intoxicated when when officers pulled him over for speeding in his 2008 Bentley . City Attorney spokeswoman Gina Coburn told the Union - Tribune the case remains under review and is being investigated further .",1,0,esl2
Thursday we started steam-cleaning the floor in the shop for the party .,0,1,semeval
The risk of TB was reversely associated with initial BMI.,1,0,Pubmed data.csv
Our results support the potential beneficial effect of GPi DBS on disabling tic reduction and improvement of quality of life.,1,0,Haber
Heavyweight champion Wladimir Klitschko once again displayed his dominance by scoring a sixth round stoppage against American contender Tony Thompson . Klitschko utilized good ring smarts and superior punching power to systematically break Thompson down .,1,0,esl2
"The pain from an ulcer is usually more severe than pain from indigestion , often gnawing in nature , it sometimes goes through to the back .",1,0,semeval
We observed that breastfeeding was independently associated with reduced childhood obesity for both HIV-exposed and unexposed children...,1,0,Haber
