sentence,True Label,Predicted Label,source
Jose Luis Orozco showed almost no emotion throughout the three - week trial in which he was convicted of the 2005 murder of Los Angeles County Sheriff's Deputy Jerry Ortiz .,causal,non-causal,esl2
Pediatric orthopaedic surgeons show age related patterns of spine injury in ATV injuries,causal,non-causal,Press Release
Cooperation thus tends only to occur if people are under the impression that they can trust one another.,causal,non-causal,Ssc
Six glowing disks await activation by the footsteps of desert wanderers .,causal,non-causal,semeval
"Jackson , also facing charges of driving while on probation for a prior DUI , has an arraignment set for Feb . 17 in San Diego Superior Court .",causal,non-causal,esl2
"The police source , who wished to remain anonymous , said the men drove a large four - by - four car into the store in the early hours of the morning and grabbed jewellery and luxury watches worth an estimated €2 million .",causal,non-causal,esl2
Overdose deaths down 35 percent after opening of Vancouver s supervised injection site  UBC BC CfE study,causal,non-causal,Press Release
Monitoring growth trajectories may improve chronic disease prevention.,causal,non-causal,Pubmed
Here are the news reports and photographs of the devastations caused by the storm .,causal,non-causal,semeval
Police struggled to control a furious crowd that broke away from a planned peaceful vigil .,causal,non-causal,esl2
"Our results show, among women and men, no differences in baseline cognitive status (intercepts) between early- (before age 20) and late-life (50 and older) immigrants and U.S.-born individuals of Mexican-origin.",causal,non-causal,Haber
This press release is available in French.A study published in Pediatrics this morning by researchers at the University of Montreal offers positive news for Wii-loving teenagers and their parents: games such as Wii Sports and Dance Dance Revolution can bring them closer to recommended physical activity levels.,causal,non-causal,Press Release
Raj driven to rage after reading about yet another weirdly spelled Web 2 . 0 company is struggling on TechCrunch .,causal,non-causal,semeval
"Analysts are skeptical Provigo will be able to sell the non-food businesses as a group for at least book value, and are expecting write-downs.",causal,non-causal,ctb
"UC San Francisco  researchers have developed a two-minute assessment tool to help hospital staff predict  a patient's risk of delirium, a change in mental cognition characterized by severe  confusion and disorientation that can prolong hospital stays.",causal,non-causal,Press Release
"A strong earthquake struck off Indonesia's Aceh province on Tuesday , damaging houses and injuring at least five people .",causal,non-causal,esl2
Vitamin D deficiency is highly prevalent in CRC patients and a strong independent  predictor of poor prognosis.,causal,non-causal,Haber
Incorporating culturally centered individualized MT may be an effective intervention to reduce stressors.,causal,non-causal,Pubmed
"The generals were used to fighting wars without these , so they ordered their armies to attack in the old style of marching in rows - allowing the enemy to shoot them down easily .",causal,non-causal,altlex
"THREE PEOPLE HAVE DIED IN A BLAZE that broke out at MARFIN EGNATIA BANK , on Stadiou Street , downtown Athens . SKY - TV reports that the 3 bank employees were burnt to death .",causal,non-causal,esl2
"For the purposes of this survey, the Wall Street Journal will be counted as a separate and distinct publication from the Journal 's editorial page, because, in essence, it is.",causal,non-causal,because
This suggests that the VAI may be utilized as an additional indicator of long-term CVD risk for Caucasian/Mediterranean men without previous CVD.,causal,non-causal,Pubmed
"Four men rammed their car into an upmarket jewellery store in central Paris on Monday , smashing the shop window and making off with a two - million - euro ( $2 . 6 - million ) booty , a police source said .",causal,non-causal,esl2
"In adolescents with T1DM, there appears to be a strong association between intuitive eating, in particular the effect of emotion on eating, and glycaemic control.",causal,non-causal,Pubmed
Health education programs among the study population could be effective for solving the problem.,causal,non-causal,Pubmed
"In September 2009 a major earthquake near Padang city on Sumatra killed more than 1 , 000 people .",causal,non-causal,esl2
"When you're in Congress, you sort of think in terms of the next election or whatever it may be.",causal,non-causal,because
"O'Brien sued , claiming he was terminated without cause , and both parties filed motions for summary judgment .",causal,non-causal,esl2
"Mr. Chairman, thank you very much for your kind welcome.",causal,non-causal,because
"The study showed associations between miRNA polymorphisms (miR-27a rs895819 and miR-449b rs10061133) and RPL development, and between the miRNA polymorphism (miR-27a rs895819) and plasma folate levels.",causal,non-causal,Pubmed
"In critically ill children, withholding parenteral nutrition for 1 week in the ICU was clinically
superior to providing early parenteral nutrition.",causal,non-causal,Haber
Heavyweight champion Wladimir Klitschko once again displayed his dominance by scoring a sixth round stoppage against American contender Tony Thompson . Klitschko utilized good ring smarts and superior punching power to systematically break Thompson down .,causal,non-causal,esl2
Our results suggest that the competition scheme is attractive enough to gather sufficient support in a majority vote but not if individual groups are given a veto.,causal,non-causal,Ssc
Our results indicate that living in a neighborhood with a greater percentage of older adults is related to better individual cognition at baseline but we did not find any significant association with cognitive decline.,causal,non-causal,Haber
Research finds targeted screening for hepatitis C is cost effective,causal,non-causal,Press Release
A series of aftershocks have hit the island since it was first rocked by a magnitude - 5 . 9 earthquake early Sunday afternoon .,causal,non-causal,esl2
"Many metals, including manganese, copper, zinc, arsenic, selenium, and cadmium in plasma, are associated with the morbidity of diabetes.",causal,non-causal,Pubmed
"That's ironic, since I think it was just that insularity that helped them, much in the same way that AOL has benefited from being in the Virginia suburbs rather than in Silicon Valley.",causal,non-causal,because
"Substitutive home hospitalization reduced cost, health care use, and readmissions while increasing physical activity compared with usual hospital care.",causal,non-causal,Haber
We found no benefit of routine antibiotic use with respect to nutritional recovery from uncomplicated severe acute malnutrition in Niger.,causal,non-causal,Pubmed
Well I know quite a few people who get dissatisfaction from laughing at retards .,causal,non-causal,semeval
They emerge more quickly after discharge for children hospitalized with asthma or diabetes than for seizures or migraines.,causal,non-causal,Pubmed
The PC\\xa0+\\xa0EC method is more efficient for improving serum lipids and  enhancing health awareness than any single programme in older adults with dyslipidaemia.,causal,non-causal,Pubmed
Long-term weight-loss maintenance is possible and requires sustained behavior change.,causal,non-causal,Haber
Pediatric readmission rates aren t indicator of hospital performance,causal,non-causal,Press Release
The risk factors identified were similar to other series.,causal,non-causal,Pubmed
"A 25 cent-per-drink alcohol tax increase would reduce excessive drinking, and higher-risk drinkers would pay the substantial majority of the net tax increase.",causal,non-causal,Haber
lower,causal,non-causal,Haber
"Cooperative corporate culture can be nurtured by starting small, as Weber (2006)  shows experimentally with a coordination game.",causal,non-causal,Ssc
You see and hear Hackman ' s screaming after the dreadful shooting .,causal,non-causal,semeval
"As people discovered that debt and overconsumption cause stress to families , the planet , and each of us , many turned instead to friends .",causal,non-causal,semeval
Preoperative aspirin therapy can benefit cardiac surgery patients,causal,non-causal,Press Release
"Under the rules that apply when we have cabinet and cabinet-level officials, there are two opening statements on each side, the chairs and ranking members of the appropriate subcommittees.",causal,non-causal,because
Their regulator has made clear that they are adequately capitalized.,causal,non-causal,because
The best predictors of ICIs are physical findings of trauma to the head and history of LOC.,causal,non-causal,Pubmed
"A study led by Qi Sun from the Harvard School of Public Health and the Brigham and Women's Hospital in Boston, USA, and published in this week's PLoS Medicine suggests that in women, regular, moderate alcohol consumption during middle age (average age 58 years) is related to good overall health--that is, having no major chronic diseases, such as heart disease or diabetes, and no major cognitive and physical impairment, or mental health limitations--in those who live to 70 years and beyond.",causal,non-causal,Press Release
All NCD risk factors are markedly high among the urban slum adults.,causal,non-causal,Pubmed
"A man fired four days earlier from his job as an accountant walked into his old office , passed by the receptionist and made his way to a manager's office with the purpose of killing him with a shotgun , a police sergeant said Wednesday during the man's arraignment . Steinberg was shot in the hip and has spoken to police about the attack , while Riva had not yet regained consciousness and was on a ventilator .",causal,non-causal,esl2
"In this standard design, increasing m has two effects: first it increases the return to others from contributions to the public account, and second it lowers the private cost of those contributions.",causal,non-causal,Ssc
"Use of exergaming in community pediatric weight management did not improve weight status at the end of programming, and study implementation was limited by small sample and missing data.",causal,non-causal,Pubmed
Our preliminary findings indicate it is possible that magnesium intake alone or its interaction with vitamin D intake may contribute to vitamin D status.,causal,non-causal,Haber
The nutritional course for patients undergoing colon surgery can be improved by implementing early oral nutritional supplements in the PACU.,causal,non-causal,Pubmed
"It also found true special circumstances of murder of a police officer intentionally killed while performing his duties , murder to avoid arrest , street gang murder , lying in wait . . . and that Orozco personally used a handgun to commit the murder and the attempted murder , the D . A . 's release says .",causal,non-causal,esl2
When communication within teams is possible communication is an efficient means to coordinate team members' efforts at higher levels and to reduce the free-rider problem within teams.,causal,non-causal,Ssc
"Subsea cable operator Seacom announced on Twitter today ( 14 October 2011 ) that they have restored all their business customers on alternate routes following an outage expected to extend into next week . Seacom started to experience problems on Saturday , 8 October 2011 , which it said was caused by a problem on a cable between Abu Talat in Egypt and Marseilles in France .",causal,non-causal,esl2
"Scientists have thought that this kidney disease is driven by damage to the glomeruli, blood vessels in the kidney, which spill the protein albumin into the urine.",causal,non-causal,Press Release
"Not all Cubans believe, but Castro has invited everyone to welcome the man who has been one of Communism's most effective adversaries, and that's why there is suspense.",causal,non-causal,ctb
"The largest differences between SNAP participants and non participants were observed at grocery stores and big box stores, where SNAP households purchased more calories from starchy vegetables, processed meat, desserts, sweeteners and toppings, total junk food, sugar-sweetened beverages, and milk than income -eligible and higher-income SNAP nonparticipants",causal,non-causal,Haber
"In postmenopausal women, higher habitual physical activity while participating in aerobic training was associated with greater reductions in central adiposity, and was supportive of weight loss compared to lower levels.",causal,non-causal,Haber
"When acetylsalicylic acid was combined with simvastatin treatment, the intraocular levels of Ang-2 and VEGF were significantly lower than in diabetics treated with simvastatin alone.",causal,non-causal,Pubmed
Fire at Waitrose supermarket may have been arson,causal,non-causal,esl2
This study clearly revealed that there is an increase in all deleterious lipid parameters and a decrease in favorable lipid measures.,causal,non-causal,Pubmed
"calcium channel blockers and losartan are associated with a lower risk of incident gout among people with hypertension. By contrast, diuretics, β blockers, angiotensin converting enzyme inhibitors, and non-losartan angiotensin II receptor blockers are associated with an increased risk of gout.",causal,non-causal,Haber
Deadly fire - bomb hits bank during Greek riots A fire - bomb attack on a bank in Greece killed at least three people Wednesday as police fought pitched battles with striking protestors furious at brutal budget cuts designed to avert national bankruptcy .,causal,non-causal,esl2
The name `` England '' comes from the Anglo-Saxons who arrived in the 5th century .,causal,non-causal,altlex
The likelihood of malignancy for a NML on screening breast US was greater than 2%.,causal,non-causal,Pubmed
This cross-sectional analysis did not detect a correlation between weekend staffing of hospital specialists and mortality risk for emergency admissions.,causal,non-causal,Haber
"The word ""song"" is used to describe the pattern of regular and predictable sounds made by some species of whales , notably the humpback whale .",causal,non-causal,semeval
"Total sleep duration is shorter and punctuated by more frequent waking at night, the research shows.",causal,non-causal,Press Release
"CHP Officer Brian Pennings said that the blood had been drawn well after Williams' arrest , meaning he could have been intoxicated when officers had pulled him over . City Attorney spokeswoman Gina Coburn said the case remains under review and is being investigated further .",causal,non-causal,esl2
"First, the higher the payoff foregone by a freerider when not receiving rewards, the more likely he/she is to act (more) cooperatively in the social dilemma game in order to attract rewards.",causal,non-causal,Ssc
His solution was to pay the Danes off : for almost 20 years he paid increasingly large sums to the Danish nobles in an attempt to keep them from English coasts .,causal,non-causal,altlex
Some of this controversy relates to the fact that this score-centric approach has led to performing styles that emphasize metrically strict block-rhythms ( just as the music is notated in the score ) .,causal,non-causal,altlex
"Soon , the system developed a well-defined but partially exposed low-level circulation center ( LLCC ) , prompting the JTWC to issue a tropical cyclone formation alert .",causal,non-causal,altlex
"We need to do some things to strengthen the infrastructure we have, the over-the-counter derivative market, the tri-party repossession market, and that which is secured financing between institutions, and we need to do that so that the appearance and the reality that institutions are too interconnected to fail no longer exists, and we are going to need broader emergency authorities for the resolution or wind-down of complex financial institutions that don't have Federal deposit insurance.",causal,non-causal,because
"Overall, women with MS had an increased risk of infections and preterm delivery; however, their risks for other adverse pregnancy outcomes were not elevated.",causal,non-causal,Haber
This prescription drug alleviates panic from claustrophobia and is also very handy for airplane rides and in case of broken-down subway cars or elevators .,causal,non-causal,semeval
The accolade was decided upon after an intense discussion between about 200 members .,causal,non-causal,semeval
"However , the Soviets changed their minds , fearing possible future Cuban militant steps , and on November 22 , 1962 , the Soviet Deputy Prime Minister Anastas Mikoyan told Castro that those rockets with the nuclear warheads were being removed too .",causal,non-causal,altlex
"This study indicates that patients at home who are approaching the end-of-life experience
substantially better pain relief if they receive specialist palliative care",causal,non-causal,Haber
"So solar thermal power generation works essentially the same as generation from fossil fuels except that instead of using steam produced from the combustion of fossil fuels , the steam is produced by the heat collected from sunlight .",causal,non-causal,semeval
"However, insiders cannot correct such free riding through directed punishment; indeed, the only option insiders have for hurting free-riding outsiders is to limit their contributions.",causal,non-causal,Ssc
The direct implication is that happiness is good for worker productivity and in turn good for firms' profits.,causal,non-causal,Ssc
"A refugee camp in South Sudan's Unity state was bombed on Thursday , South Sudan officials and witnesses said , threatening to raise tensions with Sudan .",causal,non-causal,esl2
Take medicine to reduce sneezing and coughing from allergies .,causal,non-causal,semeval
"Arcade Joseph Comeaux Jr . is serving three life sentences . He escaped last week while being transported from a prison in Huntsville to one in Beaumont , Texas .",causal,non-causal,esl2
Interventions that increase screening uptake may also increase subsequent engagement with information.,causal,non-causal,Pubmed
Medical bills make up half of bankruptcies .,causal,non-causal,semeval
Adiponectin levels were in positive correlation with HDL-cholesterol concentrations.,causal,non-causal,Pubmed
Comeaux is accused of using a gun which was smuggled in to him for the escape . He was in prison after being convicted of aggravated sexual assault of a child and aggravated assault with a deadly weapon .,causal,non-causal,esl2
"French police are investigating a daring jewellery robbery in Paris - the latest in a series of high - profile thefts in France this summer . In the early hours of Monday , thieves rammed a 4x4 vehicle through the windows of an upmarket jewellery store near the prestigious Place Vendome .",causal,non-causal,esl2
Our findings suggest that extreme high\\xa0fiber intake may be associated with decreased risk of breast cancer but the level of dietary fiber intake among Japanese population might not be sufficient to examine the association between dietary fiber intake and breast cancer risk.,causal,non-causal,Pubmed
"Infusing liquidity into the marketplace has prevented the credit crunch from seizing the system, and facilitating the sale of Bear Stearns to J.P. Morgan is viewed by many as having been the lynchpin that prevented a run-on-the-bank type crises which could have spread throughout our financial system and caused irreparable harm.",causal,non-causal,because
"Sixers Hire Maurice Cheeks as Head Coach Cheeks , who played for the Sixers for 11 seasons and served as an assistant coach for seven , was named coach after Jim O'Brien was relieved of his coaching duties .",causal,non-causal,esl2
The presentation generated debate and there was general discussion on how journalists can better equip themselves to handle the challenges .,causal,non-causal,semeval
There are many steps that could be taken at the regulatory and supervisory level to strengthen the oversight of banks and other financial institutions.,causal,non-causal,because
"The police source , who wished to remain anonymous , said the men drove a large four - by - four car into the store in the early hours of the morning and grabbed jewellery and luxury watches worth an estimated two million euros .",causal,non-causal,esl2
"A Waitrose supermarket in a Somerset town caught fire yesterday ( July 21st ) , causing substantial damage to the building ’ s roof . Upon arrival they found that the roof fire was quite significant .",causal,non-causal,esl2
"Although this study investigates women with gynecological diseases,  the postmenopausal ovary is hormonally active, and the E2 produced by postmenopausal ovaries may therefore contribute to the maintenance of lipid metabolism.",causal,non-causal,Pubmed
"Reduced levels of CETP are associated with lower, not higher, blood pressure.",causal,non-causal,Haber
"First, Americans have come to expect the Federal Reserve to step in to avert events that pose unacceptable systemic risk.",causal,non-causal,because
"Gunman kills 1 , wounds 2 at accounting office An accounting firm employee who was fired last week shot and killed a woman and wounded two men Monday at the suburban Detroit building where he worked , then led officers on a high - speed chase , police said .",causal,non-causal,esl2
Researchers from University Hospitals (UH) Case Medical Center and Case Western Reserve University School of Medicine have published new findings in the February issue of American Journal of Roentgenology that mammography remains beneficial for women in their 40s.,causal,non-causal,Press Release
"In the city of Shifang , the collapse of two chemical plants led to leakage of some 80 tons of liquid ammonia , with hundreds of people reported buried .",causal,non-causal,altlex
"Although more patients with appropriate indications had obstructive CAD and underwent revascularization ( P  < 0.001), a substantial proportion of those with inappropriate or uncertain indications had important coronary disease.",causal,non-causal,Haber
"John Jenkin , 23 , had been sectioned after an apparent suicide attempt in the week before the double murder .",causal,non-causal,esl2
"In World War II , mechanical analog computers were used for specialized military applications such as calculating torpedo aiming .",causal,non-causal,altlex
"Adults with newly diagnosed diabetes
appeared to be at higher risk of advanced liver disease,
also known as diabetic hepatopathy.",causal,non-causal,Haber
"Mrs. Maloney:  Absolutely, if time permits.",causal,non-causal,because
"Our findings indicate that having an episode of TGA does not increase the risk of subsequent cerebrovascular events, seizures, or cognitive impairment.",causal,non-causal,Haber
"A strong 6 . 1 - magnitude earthquake struck the northwestern Indonesian province of Aceh on Tuesday , the US Geological Survey said , sending people running into the streets in panic .",causal,non-causal,esl2
The cathode emits electrons .,causal,non-causal,semeval
Unplanned births out of hospital increases risk of infant mortality,causal,non-causal,Press Release
"Ralston Purina Co. reported a 47 % decline in fourth-quarter earnings, reflecting restructuring costs as well as a more difficult pet food market.",causal,non-causal,ctb
Dozens gathered to remember 16 - year - old Kimani Gray .,causal,non-causal,esl2
PDS and NACT plus IDS achieved comparable results in terms of progression-free and OS in patients with advanced EOC.,causal,non-causal,Pubmed
